2021-12-11 22:12:391 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:573 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (5adcca41376a03c607334d27a129d5a2)] -> id: keywords]
2021-12-11 22:12:917 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (5adcca41376a03c607334d27a129d5a2)] -> id: location]
2021-12-11 22:12:252 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (5adcca41376a03c607334d27a129d5a2)] -> id: location]
2021-12-11 22:12:707 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (5adcca41376a03c607334d27a129d5a2)] -> id: toggle-hp-search]
2021-12-11 22:12:181 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (5adcca41376a03c607334d27a129d5a2)] -> id: salarymax]
2021-12-11 22:12:352 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (5adcca41376a03c607334d27a129d5a2)] -> id: salarymax]
2021-12-11 22:12:607 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (5adcca41376a03c607334d27a129d5a2)] -> id: salarymin]
2021-12-11 22:12:764 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (5adcca41376a03c607334d27a129d5a2)] -> id: salarymin]
2021-12-11 22:12:998 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (5adcca41376a03c607334d27a129d5a2)] -> id: hp-search-btn]
2021-12-11 22:12:524 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:607 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (c94072c8356cbb701d397cfde9f068e1)] -> id: keywords]
2021-12-11 22:12:196 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (c94072c8356cbb701d397cfde9f068e1)] -> id: location]
2021-12-11 22:12:507 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (c94072c8356cbb701d397cfde9f068e1)] -> id: location]
2021-12-11 22:12:761 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (c94072c8356cbb701d397cfde9f068e1)] -> id: toggle-hp-search]
2021-12-11 22:12:219 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (c94072c8356cbb701d397cfde9f068e1)] -> id: salarymax]
2021-12-11 22:12:327 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (c94072c8356cbb701d397cfde9f068e1)] -> id: salarymax]
2021-12-11 22:12:543 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (c94072c8356cbb701d397cfde9f068e1)] -> id: salarymin]
2021-12-11 22:12:725 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (c94072c8356cbb701d397cfde9f068e1)] -> id: salarymin]
2021-12-11 22:12:45 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (c94072c8356cbb701d397cfde9f068e1)] -> id: hp-search-btn]
2021-12-11 22:12:805 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:322 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (59b9c81ec287e63d9ea27d38c8615489)] -> id: keywords]
2021-12-11 22:12:616 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (59b9c81ec287e63d9ea27d38c8615489)] -> id: location]
2021-12-11 22:12:780 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (59b9c81ec287e63d9ea27d38c8615489)] -> id: location]
2021-12-11 22:12:64 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (59b9c81ec287e63d9ea27d38c8615489)] -> id: toggle-hp-search]
2021-12-11 22:12:438 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (59b9c81ec287e63d9ea27d38c8615489)] -> id: salarymax]
2021-12-11 22:12:532 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (59b9c81ec287e63d9ea27d38c8615489)] -> id: salarymax]
2021-12-11 22:12:837 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (59b9c81ec287e63d9ea27d38c8615489)] -> id: salarymin]
2021-12-11 22:12:948 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (59b9c81ec287e63d9ea27d38c8615489)] -> id: salarymin]
2021-12-11 22:12:173 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (59b9c81ec287e63d9ea27d38c8615489)] -> id: hp-search-btn]
2021-12-11 22:12:104 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:254 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (6bff0eb7d907695da35eebd1834ab61a)] -> id: keywords]
2021-12-11 22:12:742 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (6bff0eb7d907695da35eebd1834ab61a)] -> id: location]
2021-12-11 22:12:108 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (6bff0eb7d907695da35eebd1834ab61a)] -> id: location]
2021-12-11 22:12:847 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:699 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: keywords]
2021-12-11 22:12:973 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: location]
2021-12-11 22:12:160 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: location]
2021-12-11 22:12:521 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: toggle-hp-search]
2021-12-11 22:12:915 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: salarymax]
2021-12-11 22:12:139 INFO  HomePage :107 - Entering maximum salary : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: salarymax]
2021-12-11 22:12:386 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: salarymin]
2021-12-11 22:12:495 INFO  HomePage :100 - Entering Minimum Salary : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: salarymin]
2021-12-11 22:12:763 INFO  HomePage :127 - Click on Find Jobs Button : [[ChromeDriver: chrome on WINDOWS (3c41ed1282f148b7907470021f415603)] -> id: hp-search-btn]
2021-12-11 22:12:75 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-11 22:12:809 INFO  HomePage :73 - Entering job title : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: keywords]
2021-12-11 22:12:37 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: location]
2021-12-11 22:12:224 INFO  HomePage :79 - Entering location : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: location]
2021-12-11 22:12:508 INFO  HomePage :93 - Clicking on more search options link : [[ChromeDriver: chrome on WINDOWS (8526ae47b5bcf412c534868b0d466d7d)] -> id: toggle-hp-search]
